DrinkIngredient;Category;IsUsed;SupplierId;Cost;SizeLiters;SizeUnits;QuantityNeeded;Notes
SLAAPMUTSKE CHRISTMAS 7,4°;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,05;0,33;1;10;CHRISTMAS ALE
LA RULLES TRIPEL 8,4;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;98;20;1;10;TRIPEL
SCHWEPPES LAT 0.33;BIBITE;NO;LEVA;0,49;0,33;1;10;
SOUTHERN COMFORT;WHISKEY;NO;ATB;23,18;1;1;10;
CHIANTI DOCG;VINI;NO;DIBE;5,17;0,75;1;10;ROSSO FERMO
CHIANTI DOCG SANT'ILARIO;VINI;NO;DIBE;5,17;0,75;1;10;
LANDBIER ZWICKELL;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;87,5;30;1;10;KELLER
SOUTHERN COMFORT;SUPER ALCOLICI;SI;LEVA;9,89;1;1;10;
SPRITE;BIBITE;NO;ATB;0,5;0,33;1;10;
DOLCETTO DOGL. COLLI BIANCHI;VINI;NO;DIBE;4,25;0,75;1;10;ROSSO FERMO
SPRITE;BIBITE;NO;LEVA;0,47;0,33;1;10;
SPRITE VETRO 33 CL;BIBITE;SI;LEVA;0,56;0,33;1;10;
ST. AUSTELL - ADMIRAL;BIRRE BOTTIGLIA;NO;ATB;3;0,5;1;10;
ST. AUSTELL - TRIBUTE;BIRRE BOTTIGLIA;NO;ATB;3;0,5;1;10;
LE FORT BRUNE;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;92;20;1;10;BRUNE - BROWN ALE
LE FORT TRIPEL;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;95;20;1;10;TRIPEL
MC CHOUFFE - BRUNE;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;98;20;1;10;TRIPEL
RULLES TRIPEL;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;99,5;20;1;10;TRIPEL
SCHNEIDER ORIGINAL WEISSE;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;68;20;1;10;WEISSE
ST. BERNARDUS BLANCE;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;1,78;0,33;1;10;BLANCE
SCHNEIDER WEISSE;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;68;20;1;10;WEISSE
ST. BERNARDUS PRIOR 8;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;95;20;1;10;DUBBEL
ST. GEORGEN GOLD MARZEN;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;50;20;1;10;MARZEN
TENNENT'S SUPER 9,0;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;109;30;1;10;STRONG LAGHER
ST. FEULEN CUVEE DE NOEL;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,45;0,33;1;10;CHRISTMAS ALE
ST. FEULEN TRIPEL;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,24;0,5;1;10;TRIPEL
TRIPEL KARMELIET;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;143;30;1;10;TRIPEL
WEIHERER BOCK;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;0;30;1;10;BOCK
ST.PETERES CREAM STOUT;BIRRE BOTTIGLIA;NO;METRO;1,85;0,5;1;10;
WEIHERER DUNKELL - URSTOFFLA;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;89;30;1;10;DUNKEL
STELLA ATOIS 0,33;BIRRE BOTTIGLIA;NO;METRO;0,75;0,33;1;10;
WEIHERER KELLER;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;82;30;1;10;KELLER
SUCCO ACE;BIBITE;NO;LEVA;0,51;0,2;1;10;
SUCCO AL MIRTILLO;SUCCHI;NO;ATB;0,96;0,2;1;10;
SUCCO AL MIRTILLO;BIBITE;SI;LEVA;0,72;0,2;1;10;
SUCCO ALBICOCCA;BIBITE;NO;LEVA;0,51;0,2;1;10;WHISKEY
SUCCO ALLA PERA;SUCCHI;NO;ATB;0,58;0,2;1;10;
SUCCO ALLA PERA;BIBITE;SI;LEVA;0,51;0,2;1;10;WHISKEY
SUCCO ALLA PESCA;SUCCHI;NO;ATB;0,58;0,2;1;10;
SUCCO ALLA PESCA;BIBITE;SI;LEVA;0,51;0,2;1;10;WHISKEY
SUCCO D'ANANAS;SUCCHI;NO;ATB;0,58;0,2;1;10;
SUCCO ANANAS;BIBITE;NO;LEVA;0,51;0,2;1;10;
SUCCO D'ARANCIA;SUCCHI;NO;ATB;0,58;0,2;1;10;
SUCCO D'ARANCIA;BIBITE;SI;LEVA;0,51;0,2;1;10;WHISKEY
SWEET & SOUR GEN. FRUIT;SUPER ALCOLICI;SI;LEVA;6,27;0,75;1;10;
TENNENT'S;BIRRE BOTTIGLIA;NO;METRO;0,89;0,5;1;10;
WEIHERER KELLER PILS;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;1,79;0,5;1;10;KELLER PILS
WEIHERER MARZEN;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;89;30;1;10;MARZEN
WEIHERER PILS;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;79,99;30;1;10;PILS
WEIHERER RAUCH;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;66;20;1;10;RAUCH
WEIHERER WEISSE;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;95;30;1;10;WEISSE
WELTENBURGER ASAM BOCK;BIRRE FUSTO;NO;LA CENTRALE DEL GUSTO;125;30;1;10;DOPPELBOCK DUNKEL
DOLCETTOE.DRY FIORE CONTARINI;VINI;NO;DIBE;3,88;0,75;1;10;SPUMANTE
TEQUILA ESPOLON BLANCO;SUPERALCOLICI;SI;ESSELUNGA;13,52;0,7;1;10;
TEQUILA CUERVO SILVER;SUPER ALCOLICI;SI;LEVA;14,7;1;1;10;TEQUILA
TEQUILA ESPOLON BLANCO;SUPER ALCOLICI;SI;LEVA;0;0,7;1;10;TEQUILA
TEQUILA SAUZA SILVER;COCKTAIL;NO;ATB;15,1;1;1;10;
TEQUILA SAUZA SILVER;SUPER ALCOLICI;NO;LEVA;14,94;1;1;10;TEQUILA
TETE DE MORT;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,24;0,33;1;10;TRIPEL
BOMBOLA C02;BIRRE FUSTO;NO;LEVA;20,55;10;1;10;
CRISTALL - PILS;BIRRE FUSTO;NO;PARTESA;58,1;30;1;10;PILS
FALANGHINA AIA DEI FUSCHI TELARO;VINI;NO;DIBE;4,73;0,75;1;10;BIANCO FERMO
FALANGHINA ROCCAM. TELARO IGP;VINI;SI;DIBE;3,27;0,37;1;10;
NERO D'AVOLA IGP;VINI;NO;DIBE;6,31;0,75;1;10;ROSSO FERMO
THE LIMONE;BIBITE;SI;LEVA;0,33;0,33;1;10;
THE LIMONE;BIBITE;NO;ATB;0,3;0,33;1;10;
SP.TE TREVIL BRUT;VINI;NO;DIBE;2,94;0,75;1;10;SPUMANTE
THE PESCA;BIBITE;SI;LEVA;0,33;0,33;1;10;
THE PESCA;BIBITE;NO;ATB;0,3;0,33;1;10;
MORELLINO DI SCANSANO MANTELASSI DOCG;VINI;SI;DIBE;3,71;0,37;1;10;
THE RANKE PERE NOEL 9°;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,05;0,33;1;10;CHRISTMAS ALE
THE TISANE FRITTINE OBROMA 20 PER CONFEZIONE;CAFFETTERIA;SI;CDA;1,69;1;1;10;
TIM - LIQUORE AL TIMO;SUPER ALCOLICI;NO;LEVA;29,49;0,7;1;10;
TIM - LIQUORE AL TIMO;SUPERALCOLICI;Si;TIM - ALBERTO;18,03;0,7;1;10;
ERDINGER DUNKEL;BIRRE FUSTO;NO;PARTESA;65,2;20;1;10;DUNKEL
TRIPEL KARMELIET;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;1,94;0,33;1;10;TRIPEL
TRIPLE SEC DE KUYPER;SUPER ALCOLICI;SI;LEVA;11,05;0,7;1;10;
TROUBADOUR MAGMA;BIRRE BOTTIGLIA;SI;LA CENTRALE DEL GUSTO;2,36;0,33;1;10;DOUBLE IPA
NEBBIOLO LANGHE ISOLA GENERAJ DOC;VINI;SI;DIBE;4,5;0,37;1;10;
VAGABOND;BIRRE BOTTIGLIA;NO;ATB;1,7;0,33;1;10;
VAL DIEU NOEL;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,54;0,33;1;10;CHRISTMAS ALE
VANDERGHINTE LE FORT BRUNE;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,05;0,33;1;10;BRUNE - BROWN ALE
VECCHIA ROMAGNA;DISTILLATO;NO;ATB;26,5;1;1;10;
absolutiv;VODKA;NO;DIBE;14,08;1;1;10;
VECCHIA ROMAGNA;SUPER ALCOLICI;SI;LEVA;24,36;1,5;1;10;
VICARIS TRIPEL GEUZE;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,53;0,5;1;10;GEUZE TRIPEL
VODCA GREY GOOSE;VODKA;NO;DIBE;29,19;0,7;1;10;
VODCA MENTA KLIMAT;VODKA;NO;CDA;3,39;0,7;1;10;
VODKA;VODKA;NO;ATB;9;1;1;10;
VODKA ARTIC FRAGOLA;VODKA;NO;DIBE;8,83;1;1;10;VODKA
VODKA ARTIC MENTA;VODKA;NO;DIBE;8,83;1;1;10;VODKA
VODKA ARTIC PESCA;VODKA;NO;DIBE;8,83;1;1;10;VODKA
VODKA BELVEDERE;VODKA;NO;DIBE;24,6;0,7;1;10;VODKA
VODKA CIROC;VODKA;NO;DIBE;28,77;1;1;10;VODKA
VODKA FRAGOLA ARTIC;VODKA;NO;ATB;8,83;1;1;10;
VODKA FRAGOLA ARTIC;SUPER ALCOLICI;SI;LEVA;9,57;1;1;10;VODKA
VODKA MENTA;VODKA;NO;ATB;8,83;1;1;10;
VODKA MENTA ARTIC;SUPER ALCOLICI;SI;LEVA;9,57;1;1;10;VODKA
VODKA PESCA;VODKA;NO;ATB;8,83;1;1;10;
VODKA PESCA ARTIC;SUPER ALCOLICI;SI;LEVA;9,57;1;1;10;VODKA
VODKA SECCA;SUPER ALCOLICI;SI;LEVA;9,57;1;1;10;VODKA
VODKA SKY;VODKA;NO;DIBE;11,69;1;1;10;VODKA
VODKA SMINORFF;VODKA;NO;DIBE;9,86;1;1;10;VODKA
VOV;LIQUORE;NO;ATB;17;1;1;10;
JACK DANIEL'S;WHISKEY;NO;DIBE;19,3;1;1;10;
VOV;SUPER ALCOLICI;NO;LEVA;12,73;1;1;10;LIQUORE
GREEN KILLER IPA;BIRRE FUSTO;NO;PARTESA;92,61;20;1;10;IPA
GUINNESS STOUT 4,2;BIRRE FUSTO;NO;PARTESA;95,8;30;1;10;STOUT
LA CHOUFFE GOLDEN ALE;BIRRE FUSTO;NO;PARTESA;84,5;20;1;10;TRIPEL
LAGUNITAS IPA;BIRRE FUSTO;NO;PARTESA;84,32;20;1;10;IPA
MC CHOUFFE;BIRRE FUSTO;NO;PARTESA;84,5;20;1;10;BRUNE
MONCHSHOF KELLER;BIRRE FUSTO;NO;PARTESA;57,8;30;1;10;KELLER
PAULANER - PREMIUM PILS;BIRRE FUSTO;NO;PARTESA;55,8;30;1;10;PILS
PAULANER - UR DUNKEL;BIRRE FUSTO;NO;PARTESA;54,5;30;1;10;DUNKEL
PAULANER ZWICKEL;BIRRE FUSTO;NO;PARTESA;57,57;30;1;10;KELLER
WEIHERER SCHWARZLA;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;0;0,33;1;10;STOUT
SLALOM STRONG LAGHER;BIRRE FUSTO;NO;PARTESA;70,26;20;1;10;STRONG LAGER
WEIHERER ZWARZLA;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;1,79;0,5;1;10;STOUT
WEIHERER WEIZENBOCK 6,8°;BIRRE BOTTIGLIA;NO;LA CENTRALE DEL GUSTO;2,11;0,33;1;10;WEIZENBOCK
TENNENT'S SUPER 9,0;BIRRE FUSTO;NO;PARTESA;90,9;30;1;10;STRONG LAGER
WESTMALLE TRIPEL 9,5 %;BIRRE BOTTIGLIA;NO;ATB;2,29;0,33;1;10;TRIPEL
WHISKEY BALLANTINES;SUPER ALCOLICI;NO;LEVA;14,17;1;1;10;
WHISKEY GLEN GRANT 5Y;WHISKEY;NO;ATB;16,6;1;1;10;
WHISKEY GLEN GRANT 5Y;SUPER ALCOLICI;NO;LEVA;16,3;1;1;10;
JACK DANIEL'S;WHISKEY;NO;DIBE;20,26;1;1;10;
WHISKEY J&B;SUPER ALCOLICI;NO;LEVA;11,48;0,7;1;10;
WHISKEY GLEN GRANT 5Y;WHISKEY;NO;DIBE;15,91;1;1;10;
WHISKEY JACK DANIEL'S;SUPER ALCOLICI;SI;LEVA;22,59;1;1;10;
WHISKEY JAMESON;WHISKEY;NO;ATB;23;1;1;10;
WHISKEY JAMESON;SUPER ALCOLICI;SI;LEVA;21,17;1;1;10;
WHISKEY J&B;WHISKEY;NO;DIBE;15,14;1;1;10;
WHISKEY LAGAVULIN;WHISKEY;NO;ATB;70,57;1;1;10;
WHISKEY JAMESON;WHISKEY;NO;DIBE;18,53;1;1;10;
WHISKEY LONG JHON;SUPER ALCOLICI;NO;LEVA;9,35;0,7;1;10;
WHISKEY LAGAVULIN;WHISKEY;NO;DIBE;40,29;0,7;1;10;
WHISKY BALLANTINE'S;WHISKEY;NO;DIBE;14,5;1;1;10;WHISKEY
WHISKY CHIVAS REGAL;SUPER ALCOLICI;NO;LEVA;19,57;0,7;1;10;
WHISKY JHONNY WALKER;SUPER ALCOLICI;NO;LEVA;11,09;0,7;1;10;
WHISKY CHIVAS;WHISKEY;NO;DIBE;28,4;1;1;10;WHISKEY
WHISKY OBAN - 14 YO;SUPER ALCOLICI;SI;LEVA;38,67;0,7;1;10;
WHISKY OBAN LITTLE BAY;SUPER ALCOLICI;NO;LEVA;51,43;0,7;1;10;
WHISKY JHONNY WALKER;WHISKEY;NO;DIBE;13,64;1;1;10;WHISKEY
WHISKY TALISKER Y09;SUPER ALCOLICI;SI;LEVA;27,91;0,7;1;10;
WHISKY TALISKER Y10;WHISKEY;NO;ATB;29,16;0,7;1;10;
WHISKY WILD TURKEY;SUPER ALCOLICI;SI;LEVA;22,19;0,7;1;10;
WHISKY TALISKER Y08;WHISKEY;NO;DIBE;28,4;0,7;1;10;WHISKEY
ZUCCHERO BIANCO SACCHETTI;CAFFETTERIA;SI;COFFEE POINT;0;0,5;1;10;
ZUCCHERO DI CANNA SACCHETTI;CAFFETTERIA;SI;CDA;0;0,5;1;10;
ZUCCHERO DI CANNA SACCHETTI 50 PZ;CAFFETTERIA;SI;COFFEE POINT;1,46;0,25;1;10;
ZUCCHERO LIQUIDO DI CANNA;CAFFETTERIA;SI;CDA;0;1;1;10;
ZUCCHERO LIQUIDO DI CANNA;SUPER ALCOLICI;SI;LEVA;4,81;1;1;10;PER COKTAIL
GIN ROKU;SUPER ALCOLICI;SI;CDA;0;0,5;1;10;
GIN WHITNEIL ORIGINAL;SUPER ALCOLICI;SI;CDA;0;0,5;1;10;
GIN WHIYNEIL RABARBARO;SUPER ALCOLICI;SI;CDA;0;0,5;1;10;
WHISKY WILD TURKEY;WHISKEY;NO;DIBE;22,4;1;1;10;WHISKEY
